"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","AC_culturalSignificance","FHI_humanImpactRiskScore","meanConditionScore"
"48",771,"Spitz Spring upper","Kaibab NF, Williams RD",35.26135,-111.97436,2130,"anthropogenic",NA,605110352,"6/2/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,787,6,2.14286,3.33542
"49",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,550526073,"6/16/2012","Kyle Paffett","Stevens et al. Level 2",6,802,6,2.71429,3.6
"50",1033,"Meadow Spring","Coconino NF, Mogollon Rim RD",34.42899,-111.15686,2247,"helocrene","hillslope",1371834343,"6/19/2013","Kyle Paffett, Spencer Harris, and Tom Runyon","Stevens et al. Level 2",6,828,6,2.71429,3.1375
"51",892,"Ashurst Spring","Coconino NF, Mormon Lake RD",35.02513,-111.38097,2149,"hillslope",NA,1372694922,"6/14/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",7,838,6,2.42857,3.29375
"52",1067,"Railroad Spring","Coconino NF, Mormon Lake RD",34.87473,-111.45102,2202,"hillslope",NA,1390859830,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,842,6,2.85714,3.20417
"53",766,"Many Snakes Spring","Kaibab NF, Williams RD",35.10909,-112.23399,1990,"limnocrene","rheocrene",1372705627,"6/27/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",4,852,6,2,3.64375
"54",1105,"Taylor Spring","Coconino NF, Mogollon Rim RD",34.4635,-111.17946,2270,"hillslope","rheocrene",-136317695,"6/26/2013","Kyle Paffett, Spencer Harris, Tom Bean, Krista Sparks and Vera Markgraf (veg. survey 7/11/13)","Stevens et al. Level 2",8,856,6,2.71429,3.2375
"55",966,"Fleishman Spring","Coconino NF, Mogollon Rim RD",34.47323,-111.17977,2234,"hillslope","hanging garden",-1011026130,"6/26/2013","Kyle Paffett, Spencer Harris, Tom Bean, Krista Sparks, and Vera Markgraf (Vegetation survey 7/11/2013)","Stevens et al. Level 2",6,858,6,2.42857,3.5375
"56",1014,"Leopard Frog Spring","Coconino NF, Mogollon Rim RD",34.45205,-111.15308,2273,"hillslope",NA,608820203,"6/4/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,860,6,2.85714,3.59167
"57",1116,"Twin Tanks","Coconino NF, Mogollon Rim RD",34.43588,-111.17643,2347,"hillslope",NA,-2013827055,"6/11/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",7,862,6,2.57143,3.06042
"58",939,"Cornlily Spring","Coconino NF, Mogollon Rim RD",34.43843,-111.17411,2330,"hillslope","rheocrene",-1536296706,"6/11/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",7,864,6,2.42857,3.13125
"59",887,"Allan Lake East","Coconino NF, Mormon Lake RD",34.8327,-111.43991,2274,"helocrene","limnocrene",2122905767,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,866,6,2.71429,3.35625
"60",1121,"Van Deren Spring","Coconino NF, Mormon Lake RD",34.83563,-111.44602,2282,"helocrene",NA,1949941596,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,867,6,3.14286,3.08125
"61",946,"Dairy Spring","Coconino NF, Mormon Lake RD",34.95378,-111.48179,2166,"hillslope","anthropogenic",-958640493,"6/25/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,869,6,3,3.06458
"62",963,"Fain Spring","Coconino NF, Mormon Lake RD",34.81879,-111.52392,2159,"helocrene",NA,1374079523,"6/21/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",6,878,6,2.28571,3.95417
"63",576,"Black Bear Spring","Coconino NF, Mogollon Rim RD",34.44736,-111.16426,2278,"hillslope","helocrene",-655558104,"6/19/2013","Kyle Paffett, Krista Sparks, Spencer Harris, Vera Markgraf, and Tom Runyon","Stevens et al. Level 2",7,879,6,2,3.78958
"64",1344,"Little 44 Spring","Coconino NF, Mogollon Rim RD",34.48421,-111.3715,2179,"hillslope",NA,1377540356,"7/22/2013","Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,896,6,2.57143,3.14792
"65",690,"Bear Spring lower","Kaibab NF, North Kaibab RD",36.3694,-112.175,2658,"helocrene",NA,1378748943,"8/6/2013","Krista Sparks, Spencer Harris, and Kyle Paffett","Stevens et al. Level 2",7,919,6,2.57143,3.42292
"66",894,"Babes Hole Spring","Coconino NF, Peaks RD",35.0727,-111.93971,1807,"rheocrene",NA,-661032693,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,925,6,2.14286,3.79375
"67",1007,"Kelsey Spring","Coconino NF, Peaks RD",35.07562,-111.93514,1936,"rheocrene","helocrene",977846512,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,926,6,2.14286,3.56667
"68",979,"Geronimo Spring","Coconino NF, Peaks RD",35.07751,-111.94701,1628,"hillslope","rheocrene",673286705,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,927,6,2,3.84375
"69",583,"Mangum 4 Springs","Kaibab NF, North Kaibab RD",36.62289,-112.34109,2183,"gushet",NA,-1429977267,"8/4/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",5,931,6,2.42857,3.91458
"70",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",1381341749,"8/30/2013","Glenn Rink, Jeri Ledbetter, Larry Stevens, and Marguerite Hendrie","Stevens et al. Level 2",9,970,6,2.875,4.30769
"71",787,"Lower Jumpup Spring below","Kaibab NF, North Kaibab RD",36.53059,-112.58656,1195,"limnocrene","rheocrene",1065999650,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,973,6,2.14286,3.09375
"72",794,"Kwagunt Hollow Zen Spring","Kaibab NF, North Kaibab RD",36.50922,-112.575,1128,"hanging garden","rheocrene",644377339,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,974,6,2,4.41875
"73",798,"Cottonwood Cienega","Kaibab NF, North Kaibab RD",36.52286,-112.53591,1346,"helocrene","rheocrene",-1847405151,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,976,6,2.14286,4.59167
"74",455,"Jumpup Lower Spring","Kaibab NF, North Kaibab RD",36.53189,-112.58763,1212,"rheocrene",NA,1947087694,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,977,6,2.14286,3.86875
"75",665,"Cottonwood Spring Lower Spring","Kaibab NF, North Kaibab RD",36.521,-112.53052,1403,"rheocrene",NA,-166258505,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,978,6,2.14286,4.50833
"76",818,"Lower Forgotten Canyon Spring","Kaibab NF, North Kaibab RD",36.49048,-112.57429,1187,"hanging garden","rheocrene",-586956244,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,979,6,2.14286,4.19583
"77",1099,"Sycamore Canyon fork Unnamed","Coconino NF, Red Rock RD",34.45863,-111.71901,1095,"rheocrene",NA,-1277110375,"9/6/2013","Krista Sparks and Graham Schindel","Stevens et al. Level 2",5,984,6,2.14286,3.63958
"78",1298,"Pine Flat Spring","Coconino NF, Red Rock RD",35.0111,-111.73723,1695,"rheocrene","hillslope",-728335563,"7/19/2013","Krista Sparks, Spencer Harris, and Quintin Van Dyk","Stevens et al. Level 2",6,988,6,3.57143,3.12292
"79",896,"Banfield Spring","Coconino NF, Mogollon Rim RD",34.65101,-111.45337,2070,"helocrene",NA,981141611,"7/10/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,990,6,2.85714,3.4
"80",967,"Fortyfour Spring","Coconino NF, Mogollon Rim RD",34.48503,-111.37181,2163,"rheocrene",NA,-13733743,"7/22/2013","Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,992,6,3.28571,3.24583
"81",147,"Summer Spring","Coconino NF, Red Rock RD",34.88062,-112.06635,1099,"hillslope",NA,-1551102082,"7/26/2013","Kyle Paffett, Krista Sparks, and Vera Markgraf","Stevens et al. Level 2",5,993,6,2.42857,3.78125
"82",429,"Hi Fuller Spring","Coconino NF, Mogollon Rim RD",34.47114,-111.26112,2216,"helocrene",NA,1373916431,"7/12/2013","Krista Sparks, Kyle Paffett, Vera Markgraf, and Abe Springer","Stevens et al. Level 2",7,877,6,2.71429,3.96042
"83",1171,"Devils Head Spring","Coconino NF, Peaks RD",35.24713,-111.62849,2251,"cave",NA,518130838,"6/7/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,880,6,2.14286,3.6125
"84",1136,"Winter Cabin Spring","Coconino NF, Peaks RD",35.03272,-111.93503,1908,"hillslope",NA,-796581945,"8/12/2013","Krista Sparks, Spencer Harris","Stevens et al. Level 2",6,929,6,3,3.5625
"85",423,"Dora Springs","Coconino NF, Mogollon Rim RD",34.42997,-111.15329,2313,"hillslope",NA,1259645978,"11/10/2009","Larry Stevens, FALA students","Stevens et al. Level 2",10,86,6,3,3.16065
"86",673,"Lookout Lakes","Kaibab NF, North Kaibab RD",36.46513,-112.18661,2668,"limnocrene",NA,-534504279,"6/25/2011","Larry Stevens, Glenn Rink, Jeri Ledbetter, Frank Romaglia, Lisa Schaller, Victoria Hermosillo, and Andrea Hazelton","Stevens et al. Level 2",10,227,6,2.5,4.41458
"87",762,"Dry Park Lake","Kaibab NF, North Kaibab RD",36.41951,-112.23351,2553,"limnocrene",NA,-96399923,"6/28/2011","Jeri Ledbetter, Dave Kreamer, and Victoria Hermosilla","Stevens et al. Level 2",10,291,6,2.75,3.68125
"88",717,"Aconitum unnamed springs","Kaibab NF, North Kaibab RD",36.39966,-112.08085,2359,"hillslope",NA,1340219602,"6/17/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Kyle Paffett, Anya Fayfer, and Kumi Isobe.","Stevens et al. Level 2",9,396,6,2,4.85
"89",1144,"Little Spring","Coconino NF, Peaks RD",35.37441,-111.72573,2539,"helocrene","anthropogenic",-1355459782,"9/24/2013","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 1",3,1017,6,3.375,3.43333
"90",768,"Mineral Spring","Kaibab NF, Williams RD",35.25188,-111.9994,2124,"helocrene",NA,2146221028,"5/27/2014","Prescott College Springs Ecology Class 2014: Glenn Rink, Jeri Ledbetter, and Larry Stevens","Stevens et al. Level 2",10,1223,3,3,3.1
"91",430,"General Springs","Coconino NF, Mogollon Rim RD",34.45948,-111.24992,2192,"helocrene","rheocrene",1259639552,"9/21/2009","Jeri Ledbetter, Eric North, RJ Johnson, and Denise Hudson","Stevens et al. Level 2",10,65,6,2.875,3.2588
"92",660,"Unnamed Spring 8","Kaibab NF, North Kaibab RD",36.54585,-112.51803,1410,"hanging garden",NA,-868991875,"5/19/2009","D. Burger, C Albano, and K. Watters","Stevens/NPS 2000",8,141,6,2,4.92222
"93",427,"Hidden Spring","Coconino NF, Mogollon Rim RD",34.43917,-111.18326,2309,"hillslope","rheocrene",-910058349,"10/10/2009","Larry Stevens, Jeri Ledbetter, Phoebe Stevens, Rosemary, FALA students","Stevens et al. Level 2",10,79,6,2,4.02917
"94",1019,"Little Elden Spring","Coconino NF, Peaks RD",35.27691,-111.57934,2190,"hillslope","limnocrene",2146244287,"5/19/2016","SSI Staff and Workshop Participants","Stevens et al. Level 1",8,1450,6,2.4,4.2
"95",425,"Moonshine Spring","Coconino NF, Mogollon Rim RD",34.47765,-111.14077,2206,"helocrene",NA,1260756476,"9/19/2009","Jeri Ledbetter, Eric North, RJ Johnson, Karissa Ramstead, Valerie Hallam, Denise Hudson","Stevens et al. Level 2",8,72,6,2,3.16415
"96",392,"Dane Spring","Coconino NF, Mogollon Rim RD",34.4671,-111.14948,2178,"hillslope","anthropogenic",1247294598,"7/7/2009","Jeri Ledbetter, Aryn LaBrake, and Virginia Igoe","Stevens et al. Level 2",8,74,6,3,3.22407
"97",424,"Morningcloak Springs","Coconino NF, Mogollon Rim RD",34.43431,-111.16117,2314,"hillslope",NA,-1954228068,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,76,6,2,3.88981
"98",437,"Coyote Spring","Coconino NF, Mogollon Rim RD",34.44445,-111.15651,2283,"helocrene","hillslope",1258690002,"9/19/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, and Karissa Davis","Stevens et al. Level 2",9,77,6,2.5,3.86759
"99",439,"Royal Bull Springs","Coconino NF, Mogollon Rim RD",34.43286,-111.16082,2312,"hillslope",NA,1261928167,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,75,6,2.14286,4.00053
"100",432,"Lockwood Spring","Coconino NF, Mogollon Rim RD",34.54811,-111.1417,2098,"exposure",NA,1262010058,"9/18/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, Julaire Scott, Karissa Davis","Stevens et al. Level 2",9,78,6,2,4.59021
"101",428,"McClintock Spring","Coconino NF, Mogollon Rim RD",34.49003,-111.1532,2207,"hypocrene",NA,1262057998,"9/20/2009","Jeri Ledbetter, RJ Johnson, Eric North and Denise Hudson","Stevens et al. Level 2",10,80,6,2.875,3.0037
"102",312,"Quaking Aspen Spring","Kaibab NF, North Kaibab RD",36.37823,-112.28261,2398,"hillslope",NA,1298504657,"7/28/2010","G. Rink, Albano, Phillips, and Willard","Stevens/NPS 2000",8,157,6,2.71429,3.7422
"103",885,"63 Tank","Coconino NF, Mogollon Rim RD",34.68032,-111.29347,2135,"limnocrene",NA,1404517222,"8/7/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",4,781,6,2.14286,3.5
"104",422,"Upper Buck Spring","Coconino NF, Mogollon Rim RD",34.42603,-111.14771,2313,"hillslope",NA,1259902296,"9/13/2009","Jeri Ledbetter, Eric North, Valerie Hallam, Christina Davis","Stevens et al. Level 2",10,67,6,2.28571,3.04722
"105",393,"West Moonshine Spring","Coconino NF, Mogollon Rim RD",34.48278,-111.14449,2239,"hillslope","rheocrene",-1689402876,"9/19/2009","RJ Johnson, Eric North, Jeri Ledbetter, Valerie Hallam, Denise Hudson, Karissa Ramstead","Stevens et al. Level 2",9,81,6,2.28571,3.5619
"106",331,"Crystal Spring","Kaibab NF, North Kaibab RD",36.38914,-112.09597,2682,"helocrene",NA,579,"6/27/2000","RJ Johnson, Larry Stevens, Margaret Erhart, and Nathan Zorich","Stevens/NPS 2000",8,120,6,3.25,3.735
